f,e,d,c
b,a,9,8
7,6,5,4
3,2,1,0
e,e,x,x
x,x,x,x
x,x,x,x
x,x,x,x

d,d,c,c
b,a,9,8
7,6,5,4
3,2,1,0
e,e,d,c
b,a,9,8
7,6,5,4
3,2,1,1

d,d,c,c
b,a,9,8
b,a,9,8
7,6,5,4
3,3,2,2
c,c,c,b
a,a,5,4
3,2,1,1

4,3,3,3
b,b,b,a
a,9,9,8
7,6,5,4
3,3,2,2
c,c,c,b
a,a,9,8
7,6,5,5

7,7,3,3
b,b,b,a
a,9,9,8
7,6,5,4
7,6,6,5
5,4,4,4
a,a,a,a
9,9,8,8

7,7,6,6
5,5,5,5
9,9,9,9
9,8,8,8
7,7,7,6
5,4,4,4
a,a,a,a
9,9,8,8

8,8,8,8
7,7,7,7
7,7,9,9
9,8,8,8
7,7,7,6
5,4,4,4
6,6,6,6
8,8,8,8

8,8,8,8
7,7,7,7
7,7,7,7
7,7,7,7
7,7,7,7
8,8,8,8
8,8,8,8
8,8,8,8

6,6,6,6
6,7,7,7
8,8,8,9
9,9,9,9
5,5,7,7
8,8,8,8
8,8,8,8
8,8,8,8

4,4,4,5
6,7,7,7
8,8,8,9
9,9,9,9
5,5,5,5
6,6,7,7
8,8,9,9
a,a,a,a

4,4,4,5
6,7,7,7
5,6,6,7
8,9,9,a
a,b,b,b
3,3,3,4
5,5,9,9
a,a,a,a

b,c,c,c
2,2,3,3
4,5,6,7
8,9,9,a
a,b,b,b
3,3,3,4
5,5,6,7
8,9,a,a

8,9,c,c
2,2,3,3
4,5,6,7
8,9,9,a
8,9,a,b
c,c,d,d
1,1,2,3
4,5,6,7

8,9,a,b
c,d,e,e
0,1,2,3
4,5,6,7
8,9,a,b
c,c,d,d
1,1,2,3
4,5,6,7

c,b,9,8
7,6,4,3
2,1,2,3
4,5,6,7
8,9,a,b
c,c,d,d
0,c,d,e
f,f,e,d

c,b,9,8
7,6,4,3
2,1,0,0
f,e,e,d
c,b,9,8
7,6,4,3
2,1,1,0
f,f,e,d

e,e,d,d
c,b,9,8
7,6,4,3
2,2,1,1
d,d,9,8
7,6,4,3
2,1,1,0
f,f,e,d

c,c,c,b
c,b,9,8
7,6,4,3
2,2,1,1
d,d,d,c
b,a,9,8
7,6,5,4
3,2,2,2

c,c,c,b
c,b,9,8
b,a,9,8
7,6,5,4
4,3,3,3
b,b,b,a
a,9,5,4
3,2,2,2

5,4,4,4
9,9,9,9
9,8,8,8
7,6,5,4
4,3,3,3
b,b,b,a
a,9,8,8
7,7,6,5

7,7,4,4
9,9,9,9
9,8,8,8
7,6,5,4
7,7,7,6
6,6,6,6
8,8,8,8
8,8,8,8

7,7,7,7
7,7,7,7
7,7,7,7
7,7,7,7
8,8,8,8
6,6,6,6
8,8,8,8
8,8,8,8

6,7,7,7
8,8,8,9
9,9,7,7
7,7,7,7
8,8,8,8
6,6,6,6
8,8,8,8
6,6,6,6

6,7,7,7
8,8,8,9
9,9,9,9
4,4,4,5
5,6,7,7
8,8,9,a
a,b,b,b
6,6,6,6

3,3,3,4
4,5,6,7
8,9,a,b
b,c,c,c
2,2,7,7
8,8,9,a
a,b,b,b
6,6,6,6

1,1,2,2
4,5,6,7
8,9,a,b
b,c,c,c
2,2,2,3
4,5,6,7
8,9,a,b
c,d,d,d

1,1,2,2
4,5,6,7
3,4,6,7
8,9,b,c
d,d,e,e
0,1,1,2
3,4,a,b
c,d,d,d

d,e,e,f
0,0,1,2
3,4,6,7
8,9,b,c
d,d,e,e
0,1,1,2
3,4,6,7
8,9,b,c

7,5,e,f
0,0,1,2
3,4,6,7
8,9,b,c
0,8,9,b
c,d,e,f
f,f,f,e
d,c,a,8

7,5,3,2
1,0,0,0
f,f,e,e
d,c,a,8
7,5,3,2
c,d,e,f
f,f,f,e
d,c,a,8

c,b,a,8
7,5,4,3
2,1,e,e
d,c,a,8
7,5,3,2
c,d,e,f
1,1,0,0
e,e,e,d

c,b,a,8
7,5,4,3
2,1,1,1
d,d,d,c
c,b,9,8
7,6,4,3
3,2,2,2
e,e,e,d

c,c,c,b
b,a,9,8
7,6,5,4
4,3,3,3
b,b,9,8
7,6,4,3
3,2,2,2
e,e,e,d

a,a,a,a
b,a,9,8
7,6,5,4
4,3,3,3
b,b,b,a
a,9,9,8
7,6,6,5
5,4,4,4

a,a,a,a
b,a,9,8
9,9,8,8
7,7,6,6
5,5,5,5
8,8,8,8
8,8,6,5
5,4,4,4

7,7,7,7
7,7,7,7
7,7,7,7
7,7,6,6
5,5,5,5
8,8,8,8
8,8,8,8
7,7,7,7

8,8,7,7
7,7,7,7
7,7,7,7
7,7,6,6
8,8,8,8
8,8,8,8
5,5,5,5
6,6,7,7

8,8,9,9
a,a,a,a
4,4,4,5
5,6,6,7
8,9,9,a
8,8,8,8
5,5,5,5
6,6,7,7

4,5,6,7
8,9,a,b
b,c,4,5
5,6,6,7
8,9,9,a
8,8,8,8
a,b,b,b
3,3,3,4

4,5,6,7
8,9,a,b
b,c,c,c
2,2,2,3
3,4,6,7
8,9,b,c
c,d,d,d
3,3,3,4

1,1,1,2
3,4,5,7
8,a,b,c
d,e,e,e
0,0,6,7
8,9,b,c
c,d,d,d
3,3,3,4

0,0,0,1
3,4,5,7
8,a,b,c
d,e,e,e
0,0,1,1
2,3,5,7
8,a,c,d
e,e,f,f

0,0,0,1
3,4,5,7
2,3,5,7
8,a,c,d
e,0,f,f
f,f,e,d
c,b,c,d
e,e,f,f

2,1,0,0
d,d,d,c
b,a,9,8
8,a,c,d
e,0,f,f
f,f,e,d
c,b,a,8
7,5,4,3

7,6,0,0
d,d,d,c
b,a,9,8
8,a,c,d
7,6,5,4
3,2,2,2
c,c,c,b
b,a,9,8

7,6,5,4
4,3,3,3
b,b,b,a
a,9,9,8
7,6,6,5
3,2,2,2
c,c,c,b
b,a,9,8

9,9,8,8
7,7,6,6
5,5,b,a
a,9,9,8
7,6,6,5
3,2,2,2
5,4,4,4
a,a,a,a

9,9,8,8
7,7,6,6
5,5,5,5
9,9,9,9
9,9,8,8
7,7,6,6
6,6,6,6
a,a,a,a

9,9,9,9
8,8,8,8
7,7,7,7
6,6,6,6
8,8,8,8
7,7,6,6
6,6,6,6
