f,e,d,c,a,9,9,8
7,6,6,5,3,2,1,0
e,d,b,9,8,8,8,8
8,8,8,8,6,4,2,1
d,b,9,8,8,8,8,8
8,8,8,8,8,6,4,2
c,9,8,8,8,8,8,8
8,8,8,8,8,8,6,3
b,8,8,8,8,8,8,8
8,8,8,8,8,8,8,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,8,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,7,a
4,7,7,7,7,7,7,7
7,7,7,7,7,7,7,b
3,6,7,7,7,7,7,7
7,7,7,7,7,7,9,c
2,4,6,7,7,7,7,7
7,7,7,7,7,9,b,d
1,2,4,6,7,7,7,7
7,7,7,7,9,b,d,e
0,1,2,3,5,6,6,7
8,9,9,a,c,d,e,f
