f,e,e,d,c,a,9,8
7,6,5,3,2,1,1,0
e,d,c,b,a,8,8,8
8,8,7,5,4,3,2,1
d,b,a,8,8,8,8,8
8,8,8,8,7,5,4,2
c,a,8,8,8,8,8,8
8,8,8,8,8,7,5,3
b,8,8,8,8,8,8,8
8,8,8,8,8,8,7,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,7,5
9,8,8,8,8,8,8,8
8,8,8,8,8,8,8,6
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
6,7,7,7,7,7,7,7
7,7,7,7,7,7,7,9
5,7,7,7,7,7,7,7
7,7,7,7,7,7,8,a
4,7,7,7,7,7,7,7
7,7,7,7,7,7,8,b
3,5,7,7,7,7,7,7
7,7,7,7,7,8,a,c
2,4,5,7,7,7,7,7
7,7,7,7,8,a,b,d
1,2,3,4,5,7,7,7
7,7,8,a,b,c,d,e
0,1,1,2,3,5,6,7
8,9,a,c,d,e,e,f
