f,e,e,d,c,b,a,8
7,5,4,3,2,1,1,0
e,d,d,c,b,9,8,8
8,8,6,4,3,2,2,1
e,c,b,a,8,8,8,8
8,8,8,7,5,4,3,1
d,c,b,9,8,8,8,8
8,8,8,8,6,4,3,2
c,b,9,8,8,8,8,8
8,8,8,8,8,6,4,3
b,9,8,8,8,8,8,8
8,8,8,8,8,8,6,4
a,8,8,8,8,8,8,8
8,8,8,8,8,8,8,5
8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,8
5,7,7,7,7,7,7,7
7,7,7,7,7,7,7,a
4,6,7,7,7,7,7,7
7,7,7,7,7,7,9,b
3,4,6,7,7,7,7,7
7,7,7,7,7,9,b,c
2,3,4,6,7,7,7,7
7,7,7,7,9,b,c,d
1,3,4,5,7,7,7,7
7,7,7,8,a,b,c,e
1,2,2,3,4,6,7,7
7,7,9,b,c,d,d,e
0,1,1,2,3,4,5,7
8,a,b,c,d,e,e,f
