CNU_M0_Iteration, #NonZero_Delta, #DeltaArrayPage(reduced refresh cycle)
1,0,0
2,3,3
3,39,23
4,18,11
5,16,11
6,29,18
7,13,8
8,2,2
9,4,4
10,2,2
11,2,2
12,2,2
13,26,15
14,31,19
15,55,29
16,2,2
17,43,24
18,43,24
19,2,2
20,0,0
21,6,6
22,0,0
23,24,16
24,13,10
25,9,6
26,28,18
27,23,17
28,27,18
29,40,23
30,42,23
31,2,2
32,8,5
33,7,6
34,54,28
35,47,27
36,11,8
37,13,9
38,43,23
39,23,15
40,20,12
41,34,21
42,20,12
43,50,27
44,26,13
45,5,5
46,18,11
47,16,9
48,16,9
49,16,9
Min_reducedRefreshCycle,Max_reducedRefreshCycle,Mean_reducedRefreshCycle
0,29,12
