CNU_M0_Iteration, #NonZero_Delta, #DeltaArrayPage(reduced refresh cycle)
1,7,7
2,23,16
3,35,28
4,39,31
5,43,33
6,44,29
7,11,10
8,19,17
9,17,14
10,6,5
11,44,35
12,53,34
13,72,39
14,71,43
15,38,29
16,31,26
17,78,45
18,72,44
19,98,52
20,91,50
21,25,20
22,36,25
23,46,33
24,52,36
25,63,40
26,38,30
27,42,31
28,18,14
29,42,30
30,34,21
31,57,36
32,76,47
33,72,43
34,33,22
35,39,26
36,56,32
37,74,40
38,50,33
39,41,29
40,31,23
41,47,33
42,82,47
43,77,45
44,70,42
45,44,32
46,55,33
47,61,39
48,26,22
49,45,28
Min_reducedRefreshCycle,Max_reducedRefreshCycle,Mean_reducedRefreshCycle
5,52,31
